ID number,Surname,Faculty,Origin,Course module viewed,Grade overview report viewed,Grade user report viewed,Message sent,Quiz attempt started,Quiz attempt submitted,Quiz attempt summary viewed,Quiz attempt viewed,Sessions viewed,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,Total Events,Label_Semester,Label_Final,Label_Total
CHEM262_343,CHEM262_Masked_343,Agriculture ,web,48,0,0,0,4,4,5,56,0,0,0,0,0,0,0,0,0,0,3,17,38,40,19,0,0,0,117,49,24,73
CHEM262_344,CHEM262_Masked_344,Pharmacy ,"web, ws",28,0,0,0,4,4,4,32,0,0,0,0,0,0,0,0,0,0,0,12,14,15,19,1,0,11,72,49,38,86
CHEM262_345,CHEM262_Masked_345,Nurse,web,30,0,0,0,5,5,6,65,0,0,0,0,0,0,0,0,0,0,0,22,25,28,15,21,0,0,111,47,32,79
CHEM262_346,CHEM262_Masked_346,Applied Medical Sciences,"web, ws",52,0,6,0,4,4,7,107,0,0,0,0,0,0,0,0,0,0,1,33,42,49,18,37,0,0,180,49,27,76
CHEM262_347,CHEM262_Masked_347,Agriculture ,web,32,0,2,0,4,4,4,45,0,0,0,0,0,0,0,0,0,3,1,15,35,20,14,3,0,0,91,49,17,65
CHEM262_348,CHEM262_Masked_348,Agriculture ,"web, ws",38,0,0,0,4,4,4,32,0,0,0,0,0,0,0,0,0,0,0,18,28,17,13,6,0,0,82,49,21,70
CHEM262_349,CHEM262_Masked_349,Veterinary Medicine,web,56,0,1,0,4,4,4,85,0,0,0,0,0,0,0,0,0,0,8,36,48,35,27,0,0,0,154,49,30,79
CHEM262_350,CHEM262_Masked_350,Veterinary Medicine,web,18,0,3,0,4,4,7,58,1,0,0,0,0,0,0,0,0,0,0,14,45,16,18,1,1,0,95,49,41,89
CHEM262_351,CHEM262_Masked_351,Applied Medical Sciences,ws,32,0,3,0,4,4,4,34,0,0,0,0,0,0,0,0,0,0,1,18,21,19,17,5,0,0,81,49,36,85
CHEM262_352,CHEM262_Masked_352,Applied Medical Sciences,web,41,0,9,0,3,3,4,39,1,0,0,0,0,0,0,0,0,0,7,33,3,40,15,2,0,0,100,28,33,61
CHEM262_353,CHEM262_Masked_353,Agriculture ,web,26,0,0,0,4,4,4,84,0,0,0,0,0,0,0,0,0,0,0,12,37,38,31,4,0,0,122,49,42,91
CHEM262_354,CHEM262_Masked_354,Nurse,web,132,0,17,0,5,5,5,42,8,0,0,0,0,0,0,0,0,0,5,19,93,39,19,39,0,0,214,47,33,80
CHEM262_355,CHEM262_Masked_355,Agriculture ,"web, ws",64,0,0,0,4,4,8,75,0,0,0,0,0,0,0,0,0,1,9,23,49,49,19,5,0,0,155,49,32,80
CHEM262_356,CHEM262_Masked_356,Pharmacy ,web,17,0,2,0,4,4,4,85,0,0,0,0,0,0,0,0,0,0,0,13,36,42,25,0,0,0,116,49,44,92
CHEM262_357,CHEM262_Masked_357,Agriculture ,web,85,0,0,0,4,4,4,44,0,0,0,0,0,0,0,0,0,2,9,15,22,7,30,56,0,0,141,41,36,77
CHEM262_358,CHEM262_Masked_358,Pharmacy ,web,11,0,0,0,4,4,4,35,0,0,0,0,0,0,0,0,0,0,0,11,15,16,1,15,0,0,58,45,33,78
CHEM262_359,CHEM262_Masked_359,Agriculture ,web,39,0,0,0,4,4,5,82,4,0,0,0,0,0,0,0,0,0,18,19,34,39,27,1,0,0,138,49,23,71
CHEM262_360,CHEM262_Masked_360,Pharmacy ,web,20,0,3,0,4,4,4,96,0,0,0,0,0,0,0,0,0,0,0,33,34,35,29,0,0,0,131,49,38,86
CHEM262_361,CHEM262_Masked_361,Veterinary Medicine,web,23,0,0,0,4,4,4,37,2,0,0,0,0,0,0,0,0,0,0,16,23,17,18,0,0,0,74,47,27,74
CHEM262_362,CHEM262_Masked_362,Veterinary Medicine,web,49,0,0,0,4,4,4,35,0,0,0,0,0,0,0,0,0,0,0,16,38,18,15,3,6,0,96,49,20,68
CHEM262_363,CHEM262_Masked_363,Veterinary Medicine,web,37,0,0,0,5,5,5,60,0,0,0,0,0,0,0,0,0,0,2,13,35,17,22,23,0,0,112,49,20,68
CHEM262_364,CHEM262_Masked_364,Engineering,"web, ws",41,0,1,0,4,4,9,84,0,0,0,0,0,0,0,0,0,0,7,36,35,34,31,0,0,0,143,49,24,73
CHEM262_365,CHEM262_Masked_365,Pharmacy ,web,65,0,0,0,5,5,5,61,0,0,0,0,0,0,0,0,0,0,2,14,46,20,20,34,5,0,141,49,33,82
CHEM262_366,CHEM262_Masked_366,Pharmacy ,web,136,0,3,0,4,4,4,72,0,0,0,0,0,0,0,0,0,4,4,30,65,28,37,55,0,0,223,50,38,88
CHEM262_367,CHEM262_Masked_367,Engineering,"web, ws",108,0,0,0,4,4,7,109,1,0,0,0,0,0,0,0,0,2,12,36,51,57,59,8,6,2,233,49,27,76
CHEM262_368,CHEM262_Masked_368,Nurse,"web, ws",62,0,11,0,4,4,4,39,1,0,0,0,0,0,0,0,0,3,0,26,25,3,32,36,0,0,125,49,27,76
