ID number,Surname,Faculty,Origin,Course module viewed,Discussion viewed,Grade overview report viewed,Grade user report viewed,Quiz attempt started,Quiz attempt submitted,Quiz attempt summary viewed,Quiz attempt viewed,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,Total Events,Label_Semester,Label_Final,Label_Total
BT107_492,BT107_Masked_492,Pharmacy,"web, ws",65,11,0,2,3,3,4,39,0,0,0,0,0,0,3,0,55,2,11,11,4,5,28,3,5,127,43,38,81
BT107_493,BT107_Masked_493,Pharmacy,web,36,0,0,0,2,2,2,6,0,0,0,0,0,0,0,3,2,0,2,9,5,3,19,5,0,48,31,34,65
BT107_494,BT107_Masked_494,Pharmacy,web,68,0,0,0,3,3,2,20,0,0,0,0,0,0,0,7,21,2,24,18,1,1,11,0,11,96,46,45,91
BT107_495,BT107_Masked_495,Applied Medical Sciences,"web, ws",34,0,0,3,3,3,3,15,0,0,0,0,0,0,0,0,22,0,9,12,2,5,11,0,0,61,41,29,70
BT107_496,BT107_Masked_496,Pharmacy,web,52,0,0,0,2,2,3,7,0,0,0,0,0,0,0,0,0,0,16,13,17,0,18,1,1,66,44,19,63
BT107_497,BT107_Masked_497,Applied Medical Sciences,"web, ws",28,4,0,0,3,3,4,24,0,0,0,0,0,0,1,0,26,0,6,16,0,0,17,0,0,66,41,25,66
BT107_498,BT107_Masked_498,Pharmacy,web,35,2,0,0,3,3,3,19,0,0,0,0,0,0,0,0,18,0,7,6,2,0,26,0,6,65,35,47,82
BT107_499,BT107_Masked_499,Applied Medical Sciences,"web, ws",102,11,0,0,3,3,3,39,0,0,0,0,0,0,0,1,42,0,9,81,4,10,13,1,0,161,48,35,83
BT107_500,BT107_Masked_500,Pharmacy,"web, ws",37,1,0,1,3,3,1,16,0,0,0,0,0,0,0,0,18,6,6,13,5,0,13,0,1,62,46,38,84
BT107_501,BT107_Masked_501,Pharmacy,web,17,0,0,1,3,3,2,20,0,0,0,0,0,0,0,0,19,0,1,7,0,0,19,0,0,46,36,32,68
BT107_502,BT107_Masked_502,Pharmacy,"web, ws",59,1,0,12,3,3,3,11,0,0,0,0,0,0,0,7,16,1,3,8,2,3,36,15,1,92,44,30,74
BT107_503,BT107_Masked_503,Science and Arts,web,73,11,0,4,3,3,3,16,0,0,0,0,0,0,1,0,48,1,6,29,3,3,19,1,2,113,48,32,80
BT107_504,BT107_Masked_504,Applied Medical Sciences,web,30,1,0,0,3,3,2,14,0,0,0,0,0,0,0,0,20,0,10,8,1,2,11,0,1,53,40,22,62
BT107_505,BT107_Masked_505,Science and Arts,web,19,1,0,0,3,3,3,19,0,0,0,0,0,0,0,0,21,0,1,7,2,1,15,0,1,48,50,42,92
BT107_506,BT107_Masked_506,Applied Medical Sciences,"web, ws",77,3,0,4,4,4,3,30,0,0,0,0,0,0,4,1,37,0,8,6,16,2,33,18,0,125,43,23,66
BT107_507,BT107_Masked_507,Pharmacy,"web, ws",43,0,0,2,3,3,4,13,0,0,0,0,0,0,0,0,17,3,5,13,3,10,17,0,0,68,44,39,83
BT107_508,BT107_Masked_508,Science and Arts,"web, ws",24,0,0,0,3,3,3,11,0,0,0,0,0,0,0,0,16,1,2,9,1,0,15,0,0,44,45,22,67
BT107_509,BT107_Masked_509,Pharmacy,web,47,2,0,0,3,3,3,18,0,0,0,0,0,0,0,0,19,15,1,21,4,0,15,1,0,76,42,42,84
BT107_510,BT107_Masked_510,Pharmacy,"web, ws",39,1,0,0,3,3,2,15,0,0,0,0,0,0,1,0,30,0,3,9,0,3,13,1,3,63,46,48,94
BT107_511,BT107_Masked_511,Pharmacy,web,37,0,0,0,3,3,0,18,0,0,0,0,0,0,0,1,21,0,0,13,0,0,24,0,2,61,45,43,88
BT107_512,BT107_Masked_512,Applied Medical Sciences,web,65,2,0,2,3,3,2,14,0,0,0,0,0,0,1,7,27,11,8,10,2,2,22,0,1,91,40,33,73
BT107_513,BT107_Masked_513,Pharmacy,web,40,10,0,3,3,3,2,11,0,0,0,0,0,0,1,0,21,0,11,14,0,5,14,2,4,72,44,37,81
BT107_514,BT107_Masked_514,Applied Medical Sciences,"web, ws",17,1,0,0,3,3,1,31,0,0,0,0,0,0,0,0,32,0,2,5,0,4,12,0,1,56,34,38,72
